iteration,EPT,EPI
100,2.242E-02,0.000E+00
200,1.351E-02,0.000E+00
300,1.326E-02,0.000E+00
400,1.254E-02,0.000E+00
500,1.503E-02,0.000E+00
600,1.397E-02,0.000E+00
700,1.191E-02,0.000E+00
800,1.259E-02,0.000E+00
900,1.203E-02,0.000E+00
1000,1.239E-02,0.000E+00
1100,1.230E-02,0.000E+00
1200,1.239E-02,0.000E+00
1300,1.246E-02,0.000E+00
1400,1.243E-02,0.000E+00
1500,1.242E-02,0.000E+00
1600,1.242E-02,0.000E+00
1700,1.242E-02,0.000E+00
1800,1.252E-02,0.000E+00
1900,1.246E-02,0.000E+00
2000,1.259E-02,0.000E+00
2100,1.252E-02,0.000E+00
2200,1.260E-02,0.000E+00
2300,1.258E-02,0.000E+00
2400,1.262E-02,0.000E+00
2500,1.267E-02,0.000E+00
2600,1.251E-02,0.000E+00
2700,1.269E-02,0.000E+00
2800,1.277E-02,0.000E+00
2900,1.261E-02,0.000E+00
3000,1.266E-02,0.000E+00
3100,1.273E-02,0.000E+00
3200,1.261E-02,0.000E+00
3300,1.258E-02,0.000E+00
3400,1.267E-02,0.000E+00
3500,1.261E-02,0.000E+00
3600,1.169E-02,0.000E+00
3700,1.151E-02,0.000E+00
3800,1.110E-02,0.000E+00
3900,1.030E-02,0.000E+00
4000,9.841E-03,0.000E+00
4100,9.425E-03,0.000E+00
4200,8.775E-03,0.000E+00
4300,8.199E-03,0.000E+00
4400,7.918E-03,0.000E+00
4500,7.597E-03,0.000E+00
4600,7.255E-03,0.000E+00
4700,6.973E-03,0.000E+00
4800,6.867E-03,0.000E+00
4900,6.619E-03,0.000E+00
5000,6.550E-03,0.000E+00
5100,6.191E-03,0.000E+00
5200,6.052E-03,0.000E+00
5300,6.057E-03,0.000E+00
5400,5.616E-03,0.000E+00
5500,5.498E-03,0.000E+00
5600,5.374E-03,0.000E+00
5700,5.221E-03,0.000E+00
5800,5.026E-03,0.000E+00
5900,4.961E-03,0.000E+00
6000,4.876E-03,0.000E+00
6100,5.009E-03,0.000E+00
6200,4.723E-03,0.000E+00
6300,4.526E-03,0.000E+00
6400,4.683E-03,0.000E+00
6500,4.346E-03,0.000E+00
6600,4.374E-03,0.000E+00
6700,4.237E-03,0.000E+00
6800,4.343E-03,0.000E+00
6900,4.193E-03,0.000E+00
7000,4.043E-03,0.000E+00
7100,3.885E-03,0.000E+00
7200,3.832E-03,0.000E+00
7300,3.826E-03,0.000E+00
7400,3.761E-03,0.000E+00
7500,3.727E-03,0.000E+00
7600,3.636E-03,0.000E+00
7700,3.602E-03,0.000E+00
7800,3.508E-03,0.000E+00
7900,3.416E-03,0.000E+00
8000,3.357E-03,0.000E+00
8100,3.349E-03,0.000E+00
8200,3.240E-03,0.000E+00
8300,3.199E-03,0.000E+00
8400,3.238E-03,0.000E+00
8500,3.188E-03,0.000E+00
8600,3.071E-03,0.000E+00
8700,3.049E-03,0.000E+00
8800,2.996E-03,0.000E+00
8900,2.903E-03,0.000E+00
9000,2.976E-03,0.000E+00
9100,2.959E-03,0.000E+00
9200,2.703E-03,0.000E+00
9300,2.828E-03,0.000E+00
9400,2.775E-03,0.000E+00
9500,2.636E-03,0.000E+00
