iteration;EPT;EPI
100;4.384E-03;0.000E+00
200;2.350E-03;0.000E+00
300;1.936E-03;0.000E+00
400;1.718E-03;0.000E+00
500;1.537E-03;0.000E+00
600;1.462E-03;0.000E+00
700;1.436E-03;0.000E+00
800;1.399E-03;0.000E+00
900;1.348E-03;0.000E+00
1000;1.301E-03;0.000E+00
1100;1.305E-03;0.000E+00
1200;1.289E-03;0.000E+00
1300;1.248E-03;0.000E+00
1400;1.249E-03;0.000E+00
1500;1.246E-03;0.000E+00
1600;1.219E-03;0.000E+00
1700;1.248E-03;0.000E+00
1800;1.400E-03;0.000E+00
1900;1.549E-03;0.000E+00
2000;1.740E-03;0.000E+00
2100;1.979E-03;0.000E+00
2200;2.192E-03;0.000E+00
2300;2.379E-03;0.000E+00
2400;2.563E-03;0.000E+00
2500;3.007E-03;0.000E+00
2600;3.540E-03;0.000E+00
2700;4.173E-03;0.000E+00
2800;4.189E-03;0.000E+00
2900;4.115E-03;0.000E+00
3000;4.843E-03;0.000E+00
3100;5.461E-03;0.000E+00
3200;6.022E-03;0.000E+00
3300;6.896E-03;0.000E+00
3400;6.950E-03;0.000E+00
3500;9.429E-03;0.000E+00
3600;1.173E-02;0.000E+00
3700;1.657E-02;0.000E+00
3800;3.243E-02;0.000E+00
3900;4.276E-02;0.000E+00
4000;5.959E-02;0.000E+00
4100;6.679E-02;0.000E+00
4200;8.971E-02;0.000E+00
4300;8.177E-02;0.000E+00
4400;8.430E-02;0.000E+00
4500;7.639E-02;0.000E+00
4600;6.251E-02;0.000E+00
4700;6.693E-02;0.000E+00
4800;4.848E-02;0.000E+00
4900;4.850E-02;0.000E+00
5000;3.620E-02;0.000E+00
5100;4.206E-02;0.000E+00
5200;3.612E-02;0.000E+00
5300;3.071E-02;0.000E+00
5400;2.895E-02;0.000E+00
5500;3.329E-02;0.000E+00
5600;2.705E-02;0.000E+00
5700;3.279E-02;0.000E+00
5800;1.954E-02;0.000E+00
5900;2.810E-02;0.000E+00
6000;1.124E-02;0.000E+00
6100;2.350E-02;0.000E+00
6200;1.097E-02;0.000E+00
6300;9.628E-03;0.000E+00
6400;1.111E-02;0.000E+00
6500;4.477E-03;0.000E+00
6600;3.954E-03;0.000E+00
6700;9.797E-03;0.000E+00
6800;8.450E-03;0.000E+00
6900;3.590E-03;0.000E+00
7000;1.354E-02;0.000E+00
7100;1.135E-02;0.000E+00
7200;1.134E-02;0.000E+00
7300;1.018E-02;0.000E+00
7400;1.090E-02;0.000E+00
7500;5.338E-03;0.000E+00
7600;2.936E-03;0.000E+00
7700;4.363E-03;0.000E+00
7800;2.790E-03;0.000E+00
7900;9.274E-03;0.000E+00
8000;2.652E-03;0.000E+00
8100;2.588E-03;0.000E+00
8200;6.045E-03;0.000E+00
8300;6.105E-03;0.000E+00
8400;1.118E-02;0.000E+00
